"country","specialty","respondentId","surveyStatus","studyId","title","Q1","Q2","Q3","Q4","Q5","Q6","Q7-1","Q7-2","Q7-3","Q7-4","Q7-5","Q7-6","Q7-7","Q7-8","Q7-9","Q7-10","Q8","Q9","Q10","Q12","Q20-1","Q20-2","Q20-3","Q20-4","Q20-5","Q21","Q22","Q23","Q24","state","Q11","Q13-1","Q13-2","Q14-1","Q14-2","Q16-1","Q16-2","Q16-3","Q16-4","Q16-5","Q16-9","Q18","Q19","Q16-6","Q16-8","Q16-7","Q15","Q16-10"
"GR","Rheumatology","de0204cd-5ebe-b652-711f-5314261677bd","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","7","1","4","1,2,3,8","2","11","11","3","11","1","11","11","11","11","1","1,2","5","1","3","5","4","1","2","1","1","2","1","Attiki",,,,,,,,,,,,,,,,,,
"TR","Infectious Diseases","0450a8dc-c2c1-aeff-4489-61aa04e3b279","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","4","3","3","1,2,5,6,7,8,9","1","11","11","11","11","2","11","3","11","11","2","1,2","2,3",,"4","5","3","1","2","2","2","2","3",,,"8","8","1,2,4,5,9","1,2,3,4,5,9","2","3","7","4","3","5","4,5,6","1",,,,,
"IE","General Practice (GP)","5f2eaeea-a77d-8617-8f09-d890b3a337a8","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","6","5","2","1","2,7,8,Wash hands before touching face","1","3","11","11","11","2","11","11","11","11","1","1,2,Keep in touch with Doctor & take Panadol","5","2","4","5","3","2","1","1","1","1","2","Dublin",,,,,,,,,,,,,,,,,,
"BE","Anesthesiology","2166c69e-0004-6a90-4420-05dceb4567a1","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","2",0,"6","2","3","1,2,7,8","1","11","11","3","11","2","11","11","11","11","1","1,2","1,3",,"2","4","3","5","1","3","1","2","2",,"2","1,3,4","1,3,4","2,4,5,9,11","1,2,4,5,11","4","2",,"2","3","1","5,6","2",,,,"antibiotics, inotropics",
"IE","Cardiology","faa7778c-e446-5f81-45d6-4d3a207b2d90","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","6","1","4","1,2,4,7,8,10","1","11","11","3","11","11","11","2","11","11","2","1,2,3,4","5","1","2","5","3","4","1","2","2","4","2",,,,,,,,,,,,,,,,,,,
"TR","Pulmonology/Respiratory Medicine","19971e85-3626-82b9-efc0-262c3b124b6e","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","5","3","1","1,2,5,6,7","2","11","3","11","11","1","11","11","11","11","1","2","1,2,3,4",,"2","3","5","4","1","2","2","2","2",,"2","8","8","4,9","2,3,9",,"4","5","5",,"1","5,6","2",,,,,
"SE","Pulmonology/Respiratory Medicine","35fbaaa2-a57d-bb4a-2ce5-094947cc9411","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","4","2","3","1,2,7,8","1","11","11","11","11","2","3","11","11","11","1","1,2","1","2","3","5","2","4","1","2","2","2","2","Västra Götalands län [SE-14]","2","8","8","12","12",,,,,,,,,,,,,
"TR","Urology","7d4e3516-3cef-2d99-c10c-9bf1ec44b85b","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","5","2","1","1,2,4,6,7,8,9","2","11","11","11","11","1","11","11","3","11","2","1,2","2,3",,"4","1","5","2","3","1","1","2","2","İzmir",,"3,4","3,4","2,4,5","2,4,5",,"7",,"7","7",,"5,6","1",,,,,
"BE","General Surgery","c0e299bf-9f14-53f0-6835-c624f2898c3c","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","6","2","4","1,2,3,4,6,7","1","11","2","3","11","11","11","11","11","11","1","1","5","1","3","5","2","1","4","1","2","4","2",,,,,,,,,,,,,,,,,,,
"TR","Gastroenterology","efa6559f-744d-175e-2dc5-329ea708b322","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","5","2","3","1,2,4,5,7,8,9","1","11","3","11","11","2","11","11","11","11","2","2","2",,"2","4","1","5","3","2","2","4","2",,,"1","4","2,3,4,5","7,8,10",,"5","5","4","4",,"5","1",,"6","5",,"5"
"PL","General Surgery","5cb89282-0408-91f5-0281-699446cbc6fb","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","5","3","1","1,2,3,4,7,8","1","2","3","11","11","11","11","11","11","11","1","1,2","1","2","1","5","4","2","3","2","3","4","3",,"3","1,2","1","1","1,2,3,7,8","3","5","7",,,,,,,"7","7",,
"RU","General Surgery","6350ca42-70bb-d54a-aeaf-9045efa40735","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","3","2","3","1,2,7,8,9","1","11","2","3","11","11","11","11","11","11","2","1,2,4","5","2","3","5","2","4","1","1","3","2","1",,,,,,,,,,,,,,,,,,,
"GR","General Practice (GP)","a43e4144-453c-1823-00de-036fa4795d38","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","6","1","1","1,2,6,7,8,9","1","11","3","2","11","11","11","11","11","11","1","2,3,4","5","2","5","4","1","2","3","2","3","2","2",,,,,,,,,,,,,,,,,,,
"GR","General Practice (GP)","8af75151-65d1-4119-a67b-cff2fa8b75b0","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","7","7","2","3","2,5,6,7,8","3","11","2","1","11","11","11","11","11","11","1","2","5","2","5","4","3","2","1","4","1","4","2","Thesprotia",,,,,,,,,,,,,,,,,,
"SE","Diabetology","0205f038-68fe-57f7-d50b-28bb7038870b","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","7","2","3","2,3,7,8,Avoid close encounters in general and avoid larger groups/meetings of people. ","1","11","11","11","11","2","11","11","3","11","2","2,3","5","2","4","5","2","3","1","2","2","2","2",,,,,,,,,,,,,,,,,,,
"PL","Pediatrics (excluding surgery)","7799960e-c5f1-02ef-2639-4608df42ccfd","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","4","1","2","1","1,2,3,4,5,6,7,8,9","3","2","11","11","11","1","11","11","11","11","1","1,2","5","1","4","3","5","2","1","2","2","2","2",,,,,,,,,,,,,,,,,,,
"GR","General Practice (GP)","5a5bcf6e-5e20-d206-c59d-55b939f9d9dc","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","5","1","3","1,2,6,7,8,Not to touch their face when outside untill wash their hands","3","11","11","11","11","11","11","1","2","11","2","2,temperature count, rest, fresh rich food, keep in touch with their GP/FM Physician","1,2",,"4","5","2","1","3","1","1","3","1","Thessaloniki","3","1,3,4","1,3","2,5","2,4,5,7,8",,"4",,"5","4",,"6","3",,"7","7",,
"RU","General Surgery","6d42229d-336b-3d4c-d351-d38bff108484","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","1","2","2","4","1,3,4,5,8,9","1","2","11","11","3","11","11","11","11","11","4","1,2,3,4","5","2","5","4","3","1","2","1","3","2","2",,,,,,,,,,,,,,,,,,,
"CH","General Practice (GP)","29a55e2d-b824-3dae-0e9e-2bfbef5b87ed","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","3","2","1","1,2","3","11","2","11","11","11","1","11","11","11","2","1,2","1,2",,"3","5","2","4","1","1","2","3","2","Nidwalden","3","8","8","12","12",,,,,,,,,,,,,
"BE","Urology","60f19580-6052-7e00-00d3-a7cba33533a8","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","2",0,"4","2","3","1,2,4,7,8,9","3","11","11","11","11","2","1","11","11","11","2","1,2","1","1","3","5","2","4","1","2","2","2","3",,"2","1","1","12","2,4",,"7",,"7",,,"6","1",,,,,
"IE","General Practice (GP)","dc91cfa8-7402-f0e9-2904-681d75fdc1f0","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","4","1","1","1,2,3,4,5,7,10","1","11","2","3","11","11","11","11","11","11","3","1,2,3","5","2","2","3","5","4","1","4","2","2","2","Kildare",,,,,,,,,,,,,,,,,,
"TR","Emergency Medicine","52045806-3f47-82de-7125-e29ee8887ba5","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","1","2","3","1,2,5,6,8","1","11","11","11","2","3","11","11","11","11","2","1,2","1,3",,"3","4","2","5","1","2","2","2","3","Bursa","2","8","8","1,2,3,4","1,2,3,4","4","5","4","5",,,"3,5","1",,,,,
"SE","Intensive Care / Critical Care Medicine","514611f0-5be9-e762-c235-c21fe8b99596","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","6","3","3","1,2,7,9","1","11","11","2","11","3","11","11","11","11","1","1,2","3",,"1","4","3","5","2","2","1","3","3","Stockholms län [SE-01]",,"3","3","2,4,7","2,4,7",,"7",,"7",,,"6","3,1g day one,  500mg daily, 5 days",,,"7",,
"BE","Pulmonology/Respiratory Medicine","c105f579-5b68-af13-6278-43276f479f07","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","3","2","3","1,2,7,8","2","11","11","3","11","1","11","11","11","11","2","2","1,3,4",,"3","5","4","2","1","3","2","2","2",,"2","3","3","2,4,5","2,4,5",,"5",,"5","4",,"6","1",,,,,
"GR","Rheumatology","0416f933-fbcc-f84f-32e6-5078db42f271","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","5","2","3","1,2,4,8","1","11","11","11","11","2","11","11","3","11","2","2,Keep in touch with their GP","1","2","4","5","1","3","2","1","2","4","2","Evros","2","3","8","12","2,4",,"7",,"7",,,"3,4,5,6","Dose of 200mg BID",,,,,
"DK","Anesthesiology","1b3d203a-a3fb-79cd-cb12-80d14a299c0a","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","3","1","1","2,7,8,wash hands and/or disinfect with alcohol","2","11","11","11","11","3","11","11","1","11","2","1,2","5","1","5","4","2","3","1","2","1","2","2",,,,,,,,,,,,,,,,,,,
"RU","Anesthesiology","b395ead8-9bdb-cd6a-46e1-56ebea413fcb","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","3","2","3","1,2,5,6,7,8,10","11","11","11","11","3","1","11","2","11","11","3","1,2","5","2","3","2","5","1","4","1","3","4","2","Moskva",,,,,,,,,,,,,,,,,,
"AT","Obstetrics & Gynecology","f86fd4bf-3885-88b0-e0e2-4208153da694","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","3","3","3","1,2,7,8,10","1","11","11","11","11","3","11","2","11","11","1","1,2","5","1","4","5","2","3","1","3","2","1","1",,,,,,,,,,,,,,,,,,,
"BE","General Surgery","208603f2-1bd0-1171-b0f6-d508010db726","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","5","3","3","1,3,4,5,6","1","2","11","11","11","3","11","11","11","11","1","1,2","2,4",,"2","5","3","4","1","4","1","2","3","Namur",,"1,3,4","8","12","12",,,,,,,,,,,,,
"RU","Oncology","ef4bbcc4-2f81-a542-6b7f-eb3c1e7331ad","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","2","3","1","1,2,3","1","11","11","11","11","2","11","3","11","11","3","1,2","5","2","3","5","2","1","4","1","3","2","2","Sankt-Peterburg",,,,,,,,,,,,,,,,,,
"GR","Orthopedic Surgery","b4b7049a-ddd1-b6a4-7455-c6a73093e21f","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","4","1","3","1","3","11","1","2","11","11","11","11","11","11","1","2","5","1","5","4","1","3","2","4","2","2","1",,,,,,,,,,,,,,,,,,,
"PL","Pulmonology/Respiratory Medicine","d80bcacd-8f39-46a0-337e-d348c206f5ee","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","1","2","1","1,2,3,4,5,6,7,8,9,A lot of sleep","1","11","11","11","11","3","2","11","11","11","3","1,2,3,4","5","1","1","4","3","5","2","2","2","1","2",,,,,,,,,,,,,,,,,,,
"GR","General Practice (GP)","3be2bb42-f224-bd8b-292d-7e5421a414e9","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","6","1","4","1,2,3,4,5,6,7,8","1","11","11","3","2","11","11","11","11","11","1","2,3","5","2","4","3","2","5","1","2","2","4","1","Lesvos",,,,,,,,,,,,,,,,,,
"SE","Anesthesiology","23f289a8-1582-7798-46e4-3dbe655af72e","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","5","2","3","2,7,8","1","2","11","3","11","11","11","11","11","11","1","2","5","2","2","5","3","4","1","1","3","4","2",,,,,,,,,,,,,,,,,,,
"TR","Emergency Medicine","c1e96a5e-d95d-6df5-ea6d-03f6040593a7","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","1","1","2","1,2,7,9","1","2","11","11","11","11","11","3","11","11","3","4","5","2","1","4","2","5","3","1","2","2","1",,,,,,,,,,,,,,,,,,,
"GR","Cardiology","91eb4fe9-a13d-2826-34c1-c2db7fa5de5e","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","5","7","1","1","2,3,4,9","1","3","11","11","11","11","2","11","11","11","1","2","5","1","4","3","1","5","2","1","1","1","1",,,,,,,,,,,,,,,,,,,
"FI","General Practice (GP)","05670c11-5e22-0052-7065-132a4b3eed55","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","1","1","1","1,2,7,Wash hands frequently","1","11","3","2","11","11","11","11","11","11","3","2","5","2","2","5","4","3","1","2","2","4","2","Etelä-Savo",,,,,,,,,,,,,,,,,,
"PL","Cardiology","e1128f5c-c084-3c75-605f-f38bf23ea848","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","5","6","1","1","1,2,4,5,6,7,8","3","11","11","11","11","2","11","11","1","11","3","1,2","5","2","3","4","5","1","2","1","2","4","2","Mazowieckie",,,,,,,,,,,,,,,,,,
"TR","Pediatrics (excluding surgery)","d2c1ba0d-1693-6337-aecd-045ff27515c9","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","4","3","4","1,2,4,5,6,7,8,9","1","11","11","11","11","11","3","2","11","11","1","1,2,3","1,2,3",,"1","5","4","2","3","1","2","3","1","İstanbul","3","1,4,5","1,4,5","1,2,4","1,2,4,9","5","4",,"4",,"2","1,2,3,4,5,6","1",,,,,
"RU","Oral and Maxillofacial Surgery","b256f9cb-c7da-d01e-0362-1d66f813ffc1","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","4","6","3","3","1,2,4,7,8,9,10","1","11","11","3","11","2","11","11","11","11","2","1,2","5","1","3","5","4","1","2","2","3","2","3",,,,,,,,,,,,,,,,,,,
"GR","Neurology","ce89f3a2-adda-e460-2b0a-59b4be334f28","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","1","4","1","4","1,2,4,7,8,9","11","11","1","11","2","3","11","11","11","11","2","2","5","2","4","5","2","1","3","2","2","2","1",,,,,,,,,,,,,,,,,,,
"GR","Gastroenterology","15b7032a-96ca-7f3d-dc00-6eeb0b3e005c","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","6","1","1","1,2,7,8","1","11","3","2","11","11","11","11","11","11","3","2","5","2","4","5","3","2","1","2","2","4","1","Thessaloniki",,,,,,,,,,,,,,,,,,
"PL","Obstetrics & Gynecology","1e7d2ccc-432e-9760-93f3-ef7ff4c1053a","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","4","3","3","1,2,7","1","2","11","11","11","3","11","11","11","11","1","Measure Temperature of the body, and if above the norm; self-quarantanne andCOVID Test","1","2","5","3","2","1","4","2","2","2","1","Mazowieckie","4","8","8","12","3,4",,,"3","3",,,"2","1",,,,,
"BE","Pediatrics (excluding surgery) - Neonatal & Perinatal Medicine","6726a81b-0321-7149-0342-536e53c9f664","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","4","2","3","1,2,8","2","11","11","3","11","11","11","11","1","11","1","1,2","5","2","4","5","3","2","1","2","1","2","3",,,,,,,,,,,,,,,,,,,
"RU","Obstetrics & Gynecology - Gynecology","0500069c-1e7b-c921-2880-6b3eb4464a0d","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","5","2","1","1,2,3,4,5,6,7,8,9,10","2","11","11","11","1","11","11","11","11","3","2","1,2,3,4","5","2","4","2","3","5","1","2","3","3","2","Krasnojarskij kraj",,,,,,,,,,,,,,,,,,
"RU","General Surgery","3af48649-ba49-9684-650f-94e58da466b4","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","4","6","2","1","1,2,4,7,8,9,10","3","11","11","11","1","2","11","11","11","11","1","1,2,3,4","5","2","2","1","4","3","5","1","2","1","3","Jaroslavskaja oblast'",,,,,,,,,,,,,,,,,,
"TR","Emergency Medicine","b472c75a-f554-f5ee-7752-6395a04551d1","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","5","6","2","1","1,2,3,5,7,8","11","11","11","2","11","1","11","3","11","11","1","1,2","1","2","2","4","3","5","1","2","1","1","1","Ankara","2","1,4,5","4,5","1,2,4","1,2,4,6","2","4",,"4",,,"3,5","1","5",,,,
"AT","Otolaryngology (ORL / ENT)","214652c2-52ca-31c3-a1fa-0b3d51778a15","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","3","1","2","1,2,3,7","1","11","11","3","11","11","11","11","11","2","3","1,2,3","1","1","5","3","2","4","1","2","2","2","2","Oberösterreich","3","8","8","12","12",,,,,,,,,,,,,
"GR","Orthopedic Surgery","a91ea523-5c6b-58c5-07d9-780a29227bb1","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","3","1","3","2,3,4,7,8,9","2","11","11","11","11","1","11","11","11","3","2","1,2,4","5","2","4","5","3","1","2","1","1","4","1",,,,,,,,,,,,,,,,,,,
"IE","General Practice (GP)","a60ed6a6-b3e9-2a4a-9260-0b218bb16257","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","4","1","3","1,2,5,8","11","1","2","3","11","11","11","11","11","11","3","2","1","2","2","5","3","4","1","2","2","4","2","Cork","6","1,2,3,4","3","12","12",,,,,,,,,,,,,
"PL","Radiology","00ad5f70-e7c9-22ed-3694-3660179b4319","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","5","2","4","1,2,3,4,5,6,7,8,9","1","11","3","11","11","2","11","11","11","11","2","2","5","1","2","4","3","5","1","2","2","2","2",,,,,,,,,,,,,,,,,,,
"RU","Infectious Diseases","c5237ec3-bdbd-ee23-4d1c-a1ae8ae34452","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","6","5","1","1","1,2,4,5,6,7,10","3","11","11","11","1","2","11","11","11","11","3","1","5","2","1","2","3","4","5","1","2","3","1",,,,,,,,,,,,,,,,,,,
"BE","Pathology Laboratory","8d4200bc-5051-906a-af1b-0715ededb999","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","2",0,"4","2","1","1,2,4,6,8","3","1","11","11","2","11","11","11","11","11","3","1,2","1,2,3",,"5","4","1","3","2","2","4","1","2",,"3","1,3","1,3","1","1,2,4","7","7",,"7",,,"5,6","1",,,,,
"GR","Surgical Oncology","d0f2a8e4-e603-5a44-5fbb-f62cb3418f0d","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","6","1","4","1,2,4,7,8,Wash hands regularly or in the absence of water, use alcohol disinfectants.","2","11","3","11","11","1","11","11","11","11","2","2,If they are low risk patients.","1","1","4","5","2","1","3","1","2","4","2",,"2","8","8","12","1,2,4,7","7","7",,"7",,,"2,3,5","5",,,"7",,
"TR","Cardiology","557c8c17-398e-ba41-6ef8-95f26a264f6e","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","2",0,"4","2","3","1","1","11","11","11","11","3","11","2","11","11","3","1,2,4","4","1","3","5","2","1","4","2","2","2","2",,,,,,,,,,,,,,,,,,,
"NO","General Practice (GP)","88e1897e-5ba0-49e2-9b78-31332778e1d6","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","6","1","1","1","11","11","2","3","11","1","11","11","11","11","2","2","1","1","4","3","2","5","1","2","2","4","2","Jan Mayen (Arctic Region)","2","8","8","12","12",,,,,,,,,,,,,
"TR","Family Medicine / Practice (FP)","e4fa6872-f4e7-794f-3f80-e9311a8e08c1","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","6","4","4","1,2,4,5,6,7,8,9","1","3","11","11","11","2","11","11","11","11","1","2,4","5","2","2","5","3","4","1","2","1","1","3",,,,,,,,,,,,,,,,,,,
"BE","General Practice (GP)","cb405d98-70ac-1f16-7f3b-3deaef37bfe2","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","5","1","3","1,2,3,4,5,6,7,8,9,10","3","11","2","1","11","11","11","11","11","11","2","2,3,4","5","1","4","5","2","3","1","2","3","3","2",,,,,,,,,,,,,,,,,,,
"BE","General Practice (GP)","3bbeb5ad-8476-5441-1b22-9d82432d507c","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","2",0,"5","1","1","1,2,7,9","1","2","11","11","3","11","11","11","11","11","3","1","1,3",,"3","5","4","1","2","1","3","1","3",,"2","8","8","12","2,4,5",,"5",,"5","5",,"5,6","6",,,,,
"GR","Anesthesiology","f55d1c4c-9bc4-45f2-5d1e-443ec97d4db1","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","5","1","1","1,2,3,4,5,6,7,8,9","1","2","11","3","11","11","11","11","11","11","2","2","5","1","2","5","3","4","1","1","2","3","1",,,,,,,,,,,,,,,,,,,
"TR","Hematology","18a8eb99-b356-ea75-b978-fbbb46145907","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","5","2","3","1,2,4,5,6,7,8,9","1","11","2","11","11","11","3","11","11","11","3","1,2,3,4,He/she has shortness of breath, apply to hospital","1","2","4","5","1","2","3","2","2","2","2","Kocaeli","2","3,4","3,4","1,2,4","1,2,4","2","4",,"4",,,"4,5,6","2",,,,,
"SE","Psychiatry","02aa99da-9b80-f59d-fc37-0e4a0a3900c3","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","4","5","2","3","1,2,7","1","11","11","11","11","2","3","11","11","11","1","1,2","5","2","2","5","4","3","1","2","2","3","3",,,,,,,,,,,,,,,,,,,
"BE","Obstetrics & Gynecology","ed513034-fd0a-43bf-6cec-37c0a09df4b1","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","4","2","3","1,2","1","11","11","11","11","2","3","11","11","11","2","2","1","2","4","5","2","3","1","4","1","1","2",,"2","3","3","12","2,3,4,5,6",,"7","7","7","7",,"6","Don’t know","7",,,,
"RU","Anesthesiology","bc98f897-66a0-edcf-b37a-553c51692eca","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","2","6","4","1","2,4,7,8,9","3","11","11","11","11","11","11","1","2","11","1","1","3",,"2","5","3","4","1","2","1","1","3","Krasnodarskij kraj",,"1,2,4,5","8","1,2,5","9","3","3",,,"3","3",,,,,,,
"TR","Physical Medicine & Rehabilitation (Physiatry)","930fce36-db57-8325-9e0d-6feabce2a762","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","2",0,"3","2","3","1,2,7,8,9","3","11","2","11","11","1","11","11","11","11","2","1","5","1","4","5","3","1","2","2","2","4","3","İstanbul",,,,,,,,,,,,,,,,,,
"NL","General Practice (GP)","5f9709d1-48bd-bc2d-7f42-39a0bfbbf465","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","5","1","1","1,2,3,7","11","11","2","1","11","11","11","11","3","11","2","2,keep  distance from each other","1,2,4",,"4","5","3","2","1","2","3","1","2","Noord-Brabant","3","4,5","8","2,5,11","2,4,5",,"4",,"4","5",,"2,5,6","6",,,,"paracetamol",
"TR","Pathology","16fc6651-34e9-6541-2614-b5bb2849c061","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","6","2","1","1,2,5,6,7,8","2","11","11","3","11","1","11","11","11","11","2","1","1,3",,"4","5","2","3","1","1","2","3","2",,"2","8","8","2,4","2,4",,"1",,"1",,,"5","1",,,,,
"TR","Oncology","8b622107-d635-71ee-8825-837e6f87a752","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","5","5","3","1","2,3,7,8","11","11","1","2","11","11","3","11","11","11","2","1","1","2","4","5","3","1","2","1","2","2","1","Ankara","3","8","8","4,8,9","4,7,8,9",,,,"4",,"4","2,3,5","1",,"3","4",,
"IE","General Practice (GP)","6547c237-171d-463d-5d5f-51c104fc5b26","Completed","eebf48cb-91b4-4b43-8298-d296149f4c9f","Share your opinions & medical knowledge on COVID-19","3","3","6","2","3","1,2,5,6,7","1","11","11","11","11","11","11","2","3","11","1","2,3","2",,"1","4","5","3","2","4","1","2","3","Dublin",,"3","3","2,5","12",,"7",,,"3",,,,,,,,
